fk_country,fk_year,gdp,pop
39,31,18011678551.9402,66039332389.2884
40,31,28645436569.1489,10626680.0
41,31,5591130217.66965,788500.0
42,31,1771671206875.68,79370196.0
43,31,201429629.62963,69481.0
44,31,138247285815.855,5144623.0
45,31,7073675544.80847,7129004.0
46,31,62048562947.2509,25518074.0
47,31,667307249618.447,17448894596355.7
48,31,1843572368449.89,10668243564848.3
49,31,4737213308555.52,27097404937164.8
50,31,8823564877299.14,22121578723066.8
51,31,15239278100.3502,10449837.0
52,31,42978914311.3504,57214630.0
53,31,5880686952499.88,13021049031268.7
54,31,536558591250.408,38889889.0
55,31,12175166763.285,47878073.0
56,31,141438345513.917,4986545.0
57,31,1337024782.22702,780430.0
58,31,1269179616913.63,56412897.0
59,31,5952293765.84468,983028.0
60,31,1093169389204.55,57210442.0
61,31,5889174825.487,15446982.0
62,31,317083373.524559,1040616.0
63,31,243961995.509785,973551.0
64,31,112119406.548331,465549.0
65,31,97891092003.4394,10302255.0
66,31,278098762.962963,99047.0
67,31,1018970364.86443,55599.0
68,31,7650125217.35253,9084780.0
69,31,396582263.291139,747116.0
70,31,18934047464171.2,53461077539109.3
71,31,76928290841.8701,5838574.0
72,31,4923009551.51561,5053234.0
73,31,139531995232.513,797697289590.406
74,31,3096289800.0,6925331.0
75,31,3517668586759.41,29900583521576.8
76,31,3865851524969.99,32139314724146.1
77,31,347531117301.83,2239424393002.2
78,31,146299215216.149,961669400838.282
79,31,106140727357.032,182159874.0
80,31,201174765534.279,1278442378837.88
81,31,320979026419.633,870452165.0
82,31,49305632408.4929,3485374.0
83,31,124813263926.225,55793629.0
84,31,180408064516.129,17658381.0
85,31,6468736286.92707,255019.0
86,31,1181222653522.95,56756561.0
87,31,4592224067.37194,2392030.0
88,31,4160003917.43258,3480587.0
89,31,3132817652848.04,123686321.0
90,31,8572359162.85631,23162269.0
91,31,2226577534.4071426,8910808.0
92,31,39809538.6776989,75124.0
93,31,217259259.259259,40636.0
94,31,283367525714.932,44120039.0
95,31,18427777777.7778,1674938.0
96,31,969955036768.965,4035270946811.09
97,31,579629629.62963,142301.0
98,31,1107710184716.12,4725519821856.69
99,31,1421466239.56234,28765.0
100,31,8032551173.24014,17204094.0
101,31,1030479694466.94,7384772400818.06
102,31,3722584142679.29,30993151083682.1
103,31,596415104.549144,1798997.0
104,31,1946877337292.49,22433389417760.0
105,31,12778792853.6939,381267.0
106,31,3246477995.26244,350227.0
107,31,30180108561.9305,24570814.0
108,31,2481316053.96507,30329.0
109,31,3931334870.74964,11882762.0
110,31,215043969.849246,224957.0
111,31,261253582805.945,81720428.0
112,31,78476000.0,46047.0
113,31,3613924993280.27,30535343464998.6
114,31,2681959313.15654,8945026.0
115,31,2547163582.33149,365392.0
116,31,2036373522.69939,40099553.0
117,31,507139807872.787,1195745981528.4
118,31,2560785660.0,2161433.0
119,31,1506914407.82331,2006027.0
120,31,2653480001.34558,1090290.0
121,31,1880771556.30474,9539665.0
122,31,44024178343.0071,17517054.0
123,31,6558665950908.47,22605296107568.4
124,31,2789944497.95827,1369011.0
125,31,2529440424.33462,177264.0
126,31,3512356353.0798,8370647.0
127,31,54035795388.0915,95214257.0
128,31,1009455483.87097,4227820.0
129,31,318330511920.61,14944548.0
130,31,119791683307.507,4241636.0
131,31,3627562402.66027,19616530.0
132,31,45495129385.0475,3397389.0
133,31,18798023223111.9,52392675685741.2
134,31,11685045513.6541,1804524.0
135,31,40010423970.4576,115414069.0
136,31,6433967000.0,2449968.0
137,31,26410386669.3609,22109099.0
138,31,50508286643.0184,61558898.0
139,31,3219730364.99623,3864972.0
